dataset,states_covered,source_name,source_url,access_method,status,date_accessed,record_or_tile_count,script,notes
Landslide inventory,"Assam, Arunachal Pradesh, Manipur, Meghalaya, Mizoram, Nagaland, Tripura",GSI NLFC ArcGIS FeatureServer,https://bhusanket.gsi.gov.in/gisserver/rest/services/Hosted/India_All_Landslided/FeatureServer/0,Public proxy (DotNet/proxy.ashx) query,ACCESSIBLE,2026-09-13,"Assam 590; Arunachal Pradesh 1038; Manipur 1437; Meghalaya 892; Mizoram 1881; Nagaland 1571; Tripura 66 (post-dedup)",scripts/16_fetch_ner_landslide_inventories.py,"Not the national PDF report -- abandoned for Sikkim per data/PROVENANCE.md. Paginated past the layer's 2000-record cap (caught truncating Mizoram). CSV writer fixed mid-session to stop embedded-newline row corruption."
State boundary,"Assam, Arunachal Pradesh, Manipur, Meghalaya, Mizoram, Nagaland",geoBoundaries.org IND-ADM1,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM1/,Direct GeoJSON download,ACCESSIBLE,2026-09-13,6 state polygons extracted from 1 national file,scripts/ner_config.py,Same source as Sikkim's own boundary (not GADM).
DEM (elevation),"Assam, Arunachal Pradesh, Manipur, Meghalaya, Mizoram, Nagaland",Copernicus GLO-30 (AWS Open Data),https://copernicus-dem-30m.s3.amazonaws.com/,Public S3 bucket,ACCESSIBLE,2026-09-13,"94 1x1-deg tiles (Assam 32, Arunachal Pradesh 28, Manipur 9, Nagaland 9, Meghalaya 8, Mizoram 8)",scripts/18_run_state_pipeline.py,Not committed to git (regeneratable, several exceed GitHub's 100MB limit individually).
Roads,"Assam, Arunachal Pradesh, Manipur, Meghalaya, Mizoram, Nagaland",OpenStreetMap via Overpass API,https://overpass-api.de/api/interpreter,Overpass QL (drivable classes only; auto quadrant-split fallback on large states),ACCESSIBLE,2026-09-13,per-state segment counts in HANDOFF/logs,scripts/19_fetch_state_roads_and_negatives.py,Assam's whole-bbox query hit server-side 504s; quadrant-split fallback added.
Land cover,"Assam, Arunachal Pradesh, Manipur, Meghalaya, Mizoram, Nagaland",ESA WorldCover 2021 v200,https://esa-worldcover.s3.eu-central-1.amazonaws.com/,Public S3 bucket,ACCESSIBLE,2026-09-13,"3x3-deg tiles per state (2-8 each)",scripts/18_run_state_pipeline.py,Same source as Sikkim.
Soil composition (static),"Assam, Arunachal Pradesh, Manipur, Meghalaya, Mizoram, Nagaland",ISRIC SoilGrids 2.0,https://maps.isric.org/mapserv,WCS 2.0.1 GetCoverage,ACCESSIBLE,2026-09-13,clay/sand/silt/soc at 0-5cm per state bbox,scripts/18_run_state_pipeline.py,No login required.
Rainfall (historical/RUSLE R-factor),"Manipur, Nagaland",Open-Meteo Historical Archive API,https://archive-api.open-meteo.com/v1/archive,REST API (no key),ACCESSIBLE - good coverage,2026-09-13/14,"384/506 (76%) and 348/552 (63%) grid points fetched respectively",scripts/21_compute_state_rainfall_erosivity.py,Real spatial variation preserved.
Rainfall (historical/RUSLE R-factor),"Mizoram, Meghalaya",Open-Meteo Historical Archive API,https://archive-api.open-meteo.com/v1/archive,REST API (no key),ACCESSIBLE BUT SEVERELY RATE-LIMITED,2026-09-13,"only 24/496 (4.8%) and 12/540 (2.2%) grid points fetched respectively",scripts/21_compute_state_rainfall_erosivity.py,"NOT reliable spatial data -- see data/processed/README.md. Needs re-run once Open-Meteo throttling clears."
Rainfall (historical/RUSLE R-factor),"Assam, Arunachal Pradesh",Open-Meteo Historical Archive API,https://archive-api.open-meteo.com/v1/archive,REST API (no key),BLOCKED - not completed,2026-09-14,0 successful batches in last attempt (100% failure rate),scripts/21_compute_state_rainfall_erosivity.py,"Session-wide Open-Meteo IP throttling after ~14hrs sustained use. Paused, not abandoned -- see HANDOFF_remaining_states.md."
Rainfall (live/forecast),"Sikkim, Assam, Arunachal Pradesh, Manipur, Meghalaya, Mizoram, Nagaland, Tripura",Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast,REST API (no key),ACCESSIBLE,2026-09-13,1 monitoring point per state,scripts/17_fetch_live_rainfall.py,"Snapshot-on-demand, unaffected by the historical-archive throttling (different endpoint)."
